gene	community
AT1G27730	1
AT4G17490	1
AT2G20180	1
AT3G59060	1
AT1G80840	1
AT1G28370	1
AT3G55980	1
AT5G11260	1
AT1G71030	1
AT4G32980	1
AT1G18570	1
AT2G38470	1
AT5G11060	1
AT2G43010	1
AT3G03450	1
AT5G67110	1
AT2G25000	1
AT4G01720	1
AT1G32640	1
AT2G01570	1
AT5G04150	1
AT1G68880	1
AT2G28160	1
AT1G73830	1
AT5G60890	1
AT5G47230	1
AT1G06040	1
AT3G56980	1
AT5G59820	1
AT2G31380	2
AT4G18390	2
AT3G47620	2
AT2G40140	2
AT5G37260	2
AT4G16780	2
AT3G15210	2
AT5G24590	2
AT3G24520	2
AT2G18350	2
AT5G39760	2
AT1G53170	2
AT3G02150	2
AT4G23750	2
AT5G53290	2
AT1G14685	2
AT2G46830	2
AT3G22170	2
AT4G02640	2
AT4G34590	2
AT1G22070	2
AT4G04450	2
AT2G44910	2
AT3G50700	2
AT3G61890	2
AT1G75520	2
AT5G12330	2
AT5G66350	2
AT5G06710	2
AT1G02340	2
AT3G15030	2
AT4G24240	2
AT4G13640	2
AT2G31070	2
AT1G30210	2
AT4G25470	2
AT5G17300	2
AT3G13540	2
AT2G01930	2
AT2G33860	2
AT1G65910	2
AT1G14687	2
AT4G36260	2
AT4G36900	2
AT1G75390	2
AT1G30970	2
AT1G30490	2
AT2G02070	2
AT3G04100	2
AT5G62430	2
AT1G14920	3
AT4G17460	3
AT2G41940	3
AT5G60970	3
AT4G36540	3
AT1G19700	3
AT5G16560	3
AT5G25220	3
AT3G60390	3
AT5G47370	3
AT1G32540	3
AT2G20570	3
AT1G35560	3
AT1G65620	3
AT3G16770	3
AT1G58100	3
AT1G14440	4
AT3G50890	4
AT4G24660	4
AT5G15210	4
AT5G65410	4
AT3G28920	4
AT2G25900	4
AT3G19860	4
AT3G49850	4
AT4G14410	4
AT5G54680	4
AT1G49950	4
AT5G67580	4
AT3G47640	4
AT3G57920	4
AT4G37540	4
AT5G65210	4
AT3G01470	4
AT1G75240	4
AT4G14770	4
AT5G39660	4
AT5G42780	4
AT1G01010	4
AT2G46270	5
AT4G01120	5
AT1G67970	5
AT3G22830	5
AT5G16820	5
AT1G54330	5
AT5G22380	5
AT5G42520	5
AT5G03720	5
AT5G08130	5
AT5G11590	5
AT4G13980	5
AT5G17800	5
AT5G62000	5
AT3G61830	5
AT4G18880	5
AT3G02990	5
AT1G23420	5
AT1G56170	6
AT5G47640	6
AT5G12840	6
AT1G54830	6
AT2G34720	6
AT1G08970	6
AT5G15840	6
AT3G21175	6
AT4G17570	6
AT1G42990	6
AT3G10800	6
AT3G20910	6
AT2G47810	6
AT4G34990	6
AT2G40950	6
AT2G04890	6
AT1G69560	6
AT5G41090	6
AT1G70920	6
AT4G37790	6
AT4G24470	6
AT3G44350	6
AT1G43160	6
AT4G01550	6
AT1G51600	6
AT2G31180	6
AT2G22800	6
AT5G06510	6
AT2G38880	6
AT5G09330	6
AT1G54160	6
AT2G22770	7
AT2G33480	7
AT1G25560	7
AT3G49940	7
AT5G24800	7
AT5G49450	7
AT4G35550	7
AT5G13180	7
AT1G56010	7
AT5G28770	7
AT5G02840	7
AT5G46880	7
AT5G06950	7
AT5G06960	7
AT1G68840	7
AT2G04038	7
AT5G56860	7
AT5G39860	7
AT3G54620	7
AT4G09460	7
AT1G13600	7
AT3G29035	7
AT5G50820	7
AT3G62420	7
AT4G34680	7
AT5G35900	7
AT1G17590	7
AT2G01760	8
AT4G00480	8
AT5G40330	8
AT5G53200	8
AT1G34310	8
AT4G23980	8
AT2G23290	8
AT3G50060	8
AT1G19850	8
AT4G32880	8
AT2G28350	8
AT5G60450	8
AT1G59750	8
AT2G46410	8
AT4G38620	8
AT2G37630	8
AT1G79840	8
AT1G69120	9
AT5G60910	9
AT5G61850	9
AT2G45660	9
AT3G57390	9
AT5G13790	9
AT5G22290	9
AT4G36920	9
AT2G14210	9
