gene	community
AT1G74310	1
AT2G20560	1
AT1G16030	1
AT4G26270	1
AT1G52560	1
AT1G53540	1
AT4G25200	1
AT1G07350	1
AT3G24500	1
AT1G62390	1
AT2G04030	1
AT1G54050	1
AT4G12400	1
AT1G30070	1
AT4G23570	1
AT1G11660	1
AT5G58110	1
AT1G09140	1
AT1G76300	1
AT4G03430	1
AT1G14980	1
AT3G07770	1
AT1G62740	1
AT3G12050	1
AT1G01940	1
AT2G21130	1
AT3G46230	1
AT5G48570	1
AT1G29150	1
AT5G56630	1
AT5G51440	1
AT5G56500	1
AT3G53230	1
AT3G09350	1
AT5G12020	1
AT1G51380	1
AT3G13470	1
AT2G30000	1
AT5G59720	1
AT3G62840	1
AT2G18510	1
AT1G55150	1
AT5G01400	1
AT1G53720	1
AT1G01930	1
AT5G26760	1
AT1G27650	1
AT2G17870	1
AT2G28000	1
AT4G22670	1
AT1G65660	1
AT1G50300	1
AT5G64200	1
AT2G29500	1
AT4G27670	1
AT1G27590	1
AT1G07170	1
AT2G41500	1
AT1G56330	1
AT2G32120	1
AT1G16350	1
AT5G64760	1
AT5G12030	1
AT1G02840	1
AT2G43370	1
AT5G45620	1
AT2G42270	1
AT2G44710	1
AT1G33980	1
AT4G00830	1
AT3G03340	1
AT3G18790	1
AT2G47580	1
AT3G12580	1
AT1G77180	1
AT3G27100	1
AT4G25550	1
AT2G32600	1
AT5G20160	1
AT1G56410	1
AT5G42820	1
AT5G02490	1
AT5G42920	1
AT1G04810	1
AT1G04970	1
AT5G52640	1
AT2G30260	1
AT5G25060	1
AT1G03330	1
AT1G76860	1
AT1G55520	1
AT4G20330	1
AT1G20010	1
AT2G04690	1
AT5G28740	1
AT1G11970	1
AT5G54940	1
AT2G47410	1
AT1G30480	1
AT5G51410	1
AT1G55310	1
AT3G50670	1
AT5G09590	1
AT5G23080	1
AT3G20550	1
AT3G25230	1
AT1G14650	1
AT1G09700	1
AT1G16610	1
AT2G38770	1
AT4G11220	1
AT2G36460	1
AT2G15790	1
AT1G03760	1
AT2G41020	1
AT5G66240	1
AT3G02710	1
AT1G49590	1
AT1G02300	1
AT2G46240	1
AT5G62290	1
AT1G11910	1
AT2G42520	1
AT5G02500	1
AT3G13860	1
AT5G06160	1
AT3G51660	1
AT1G04950	1
AT4G31720	1
AT4G31120	1
AT1G73690	1
AT4G19600	1
AT3G07590	1
AT1G21190	1
AT2G43810	1
AT1G67580	1
AT2G26430	1
AT1G62290	1
AT1G28060	1
AT4G04180	1
AT2G37340	1
AT5G03340	1
AT1G51510	1
AT2G16600	1
AT2G36485	1
AT1G09230	1
AT4G02430	1
AT3G18165	1
AT3G08990	1
AT3G44110	1
AT1G55970	1
AT3G12980	1
AT3G04710	1
AT5G53480	1
AT2G29210	1
AT1G20630	1
AT2G26990	1
AT1G02090	1
AT5G15570	1
AT1G47710	1
AT5G64960	1
AT5G06290	1
AT1G02140	1
AT5G58040	1
AT5G64270	1
AT3G01150	1
AT5G54520	1
AT2G36130	1
AT4G21320	1
AT1G17420	1
AT3G56090	1
AT3G47120	1
AT1G61040	1
AT4G10710	1
AT2G38560	1
AT1G20920	1
AT1G65980	1
AT3G09840	1
AT2G40300	1
AT1G15280	1
AT5G02530	1
AT3G02540	1
AT3G09440	1
AT3G04050	1
AT5G22060	1
AT1G17130	1
AT1G80930	1
AT3G58570	1
AT4G16420	1
AT4G35800	1
AT1G13690	1
AT4G21110	1
AT1G02680	1
AT1G12270	1
AT5G10800	1
AT1G03190	1
AT1G17440	1
AT1G54340	1
AT1G69740	1
AT4G03400	1
AT5G08380	1
AT1G24620	1
AT5G03690	1
AT1G65440	1
AT1G02305	1
AT5G65260	1
AT1G70210	1
AT1G65590	1
AT3G52840	1
AT2G43770	1
AT1G66510	1
AT5G65490	1
AT1G13340	1
AT5G03160	1
AT1G05990	1
AT1G55350	1
AT5G60360	1
AT1G70820	1
AT3G29320	1
AT1G33520	1
AT1G09660	1
AT4G33060	1
AT4G11260	1
AT5G56280	1
AT4G29820	1
AT1G67560	1
AT3G03960	1
AT5G45190	1
AT1G23860	1
AT5G09390	1
AT1G54140	1
AT3G57080	1
AT3G02200	1
AT5G49910	1
AT3G09360	1
AT3G07490	1
AT1G69526	1
AT4G26520	1
AT5G58220	1
AT4G27260	1
AT3G58510	1
AT1G22170	1
AT1G65700	1
AT3G18190	1
AT3G27000	1
AT2G40650	1
AT3G32130	1
AT3G25960	1
AT5G12040	1
AT1G34245	1
AT5G60880	1
AT5G10350	1
AT1G14850	1
AT5G04210	1
AT5G50012	1
AT5G42150	1
AT2G45640	1
AT5G41010	1
AT5G23880	1
AT1G68090	1
AT5G50011	1
AT2G47450	1
AT3G28730	1
AT5G01600	1
AT5G51660	1
AT1G64030	1
AT2G14960	1
AT2G41630	1
AT1G75510	1
AT5G41770	1
AT3G66652	1
AT4G37120	1
AT4G21100	1
AT3G50000	1
AT5G04170	1
AT1G03150	1
AT3G06610	1
AT4G13830	1
AT5G49510	1
AT1G09760	1
AT5G44500	1
AT2G21060	1
AT1G55300	1
AT2G16860	1
AT2G33150	1
AT5G23240	1
AT1G66260	1
AT5G56030	1
AT1G76940	1
AT5G48030	1
AT1G56290	1
AT4G37840	1
AT3G60250	1
AT2G12550	1
AT3G54490	1
AT1G27630	1
AT1G48130	1
AT1G62160	1
AT5G13570	1
AT2G15270	1
AT4G38740	1
AT4G38680	1
AT2G03150	1
AT1G21550	1
AT3G18660	1
AT5G63670	1
AT5G14250	1
AT3G19840	1
AT3G55460	1
AT5G04290	1
AT1G23160	1
AT2G19860	1
AT1G31670	1
AT2G13370	1
AT3G46970	1
AT2G41340	1
AT4G10790	1
AT2G38280	1
AT2G39260	1
AT2G23170	1
AT2G01270	1
AT4G30480	1
AT5G55170	1
AT1G30460	1
AT2G29400	1
AT5G59180	1
AT1G49620	1
AT5G17710	1
AT5G63830	1
AT1G54940	1
AT4G04460	1
AT1G63210	1
AT3G28870	1
AT1G53690	1
AT1G76080	1
AT5G13350	1
AT5G02770	1
AT1G73820	1
AT5G19000	1
AT3G63400	1
AT1G59990	1
AT1G60200	1
AT4G03120	1
AT4G01610	1
AT4G19740	1
AT5G10220	1
AT3G19670	1
AT1G79000	1
AT1G19300	1
AT5G61840	1
AT1G78680	1
AT1G62170	1
AT4G23895	1
AT4G23900	1
AT4G16640	1
AT4G26430	1
AT3G13235	1
AT4G30330	1
AT1G54380	1
AT3G56460	1
AT4G20280	1
AT4G27890	1
AT5G13380	1
AT2G18290	1
AT5G16620	1
AT1G11400	1
AT5G64730	1
AT4G34370	1
AT1G52740	1
AT4G30220	1
AT5G42400	1
AT5G51700	1
AT5G59950	1
AT5G12190	1
AT1G71230	1
AT3G04740	1
AT5G12250	1
AT4G33330	1
AT2G46610	1
AT1G34160	1
AT2G29630	1
AT3G44600	1
AT3G61800	1
AT1G79440	1
AT5G51170	1
AT4G13670	1
AT5G66150	1
AT1G66400	1
AT3G05760	1
AT1G14100	1
AT4G03290	1
AT1G31240	1
AT3G19040	1
AT4G38230	1
AT5G21170	1
AT5G09880	1
AT5G12380	1
AT5G38470	1
AT3G10400	1
AT5G16780	1
AT1G50460	1
AT4G14110	1
AT1G21560	1
AT5G14590	1
AT5G13010	1
AT3G45220	1
AT3G07860	1
AT3G52220	1
AT5G10810	1
AT1G48670	1
AT5G27720	1
AT3G52270	1
AT4G38590	1
AT1G75780	1
AT5G08290	1
AT3G09620	1
AT3G54170	1
AT3G11230	1
AT5G47810	1
AT5G02650	1
AT3G55520	1
AT5G59140	1
AT4G28980	1
AT1G09070	1
AT1G08990	1
AT2G45040	1
AT1G51900	1
AT4G36010	1
AT5G44200	1
AT5G40450	1
AT3G12850	1
AT3G28900	1
AT5G21010	1
AT1G02310	1
AT2G34940	1
AT1G29990	1
AT5G23290	1
AT2G01470	1
AT5G06520	1
AT1G31710	1
AT1G78660	1
AT1G71800	1
AT1G14640	1
AT1G15200	1
AT4G35730	1
AT4G24270	1
AT3G07740	1
AT1G11260	1
AT1G60650	1
AT4G02840	1
AT5G25150	1
AT1G44318	1
AT2G43640	1
AT4G31200	1
AT5G21150	1
AT2G29580	1
AT2G47750	1
AT4G21710	1
AT4G12270	1
AT5G09550	1
AT3G11220	1
AT4G02450	1
AT2G18740	1
AT1G77230	1
AT5G39930	1
AT1G08770	1
AT2G44200	1
AT2G35340	1
AT5G42300	1
AT5G50240	1
AT1G77130	1
AT1G26660	1
AT1G07590	1
AT3G55930	1
AT4G32850	1
AT1G26550	1
AT5G67230	1
AT5G54510	1
AT4G12860	1
AT1G27600	1
AT3G10190	1
AT3G11050	1
AT1G17070	1
AT4G19000	1
AT5G10270	1
AT4G21180	1
AT1G80070	1
AT4G28470	1
AT4G11240	1
AT1G64010	1
AT5G37770	1
AT5G51940	1
AT3G14080	1
AT4G12440	1
AT1G77480	1
AT1G79730	1
AT1G27440	1
AT5G44030	1
AT5G47080	1
AT1G32880	1
AT1G79910	1
AT2G30940	1
AT4G26390	1
AT2G30050	1
AT4G17020	1
AT3G61860	1
AT1G11360	1
AT5G53940	1
AT3G07100	1
AT5G65750	1
AT1G55460	1
AT1G49245	1
AT1G18170	1
AT1G74070	1
AT2G25850	1
AT5G61540	1
AT2G27960	1
AT3G10300	1
AT5G57655	1
AT4G31900	1
AT4G19720	1
AT2G30370	1
AT1G06020	1
AT5G18810	1
AT4G19730	1
AT3G50220	1
AT3G12810	1
AT5G48820	1
AT2G34210	1
AT3G22400	1
AT4G16600	1
AT2G43970	1
AT3G49600	1
AT5G58470	1
AT5G37370	1
AT3G06560	1
AT1G71350	1
AT4G00650	1
AT3G22960	1
AT1G80000	1
AT3G16040	1
AT1G73320	1
AT5G61250	1
AT4G29735	1
AT3G09100	1
AT2G47330	1
AT2G14540	1
AT4G37010	1
AT3G22480	1
AT3G49130	1
AT3G53500	1
AT1G05055	1
AT5G42970	1
AT1G48095	1
AT1G73190	1
AT5G44170	1
AT2G15680	1
AT5G60410	1
AT2G16950	1
AT1G79470	1
AT3G45950	1
AT5G20250	1
AT1G27720	1
AT3G12140	1
AT1G11270	1
AT3G59420	1
AT1G19890	1
AT2G32050	1
AT4G16680	1
AT4G35650	1
AT4G13720	1
AT2G35710	1
AT1G53280	1
AT3G15020	1
AT1G29390	1
AT1G33680	1
AT4G27540	1
AT2G16960	1
AT1G09200	2
AT5G59870	2
AT5G10400	2
AT5G65360	2
AT4G40030	2
AT1G02730	2
AT4G15830	2
AT1G08130	2
AT2G21790	2
AT1G44900	2
AT4G02060	2
AT1G18250	2
AT2G25060	2
AT1G12400	2
AT1G78650	2
AT2G41460	2
AT1G63160	2
AT3G02820	2
AT1G56500	2
AT4G37210	2
AT1G51060	2
AT4G27230	2
AT1G08260	2
AT3G27060	2
AT3G53730	2
AT1G67320	2
AT2G25880	2
AT1G21690	2
AT3G48425	2
AT3G19590	2
AT3G25980	2
AT5G46280	2
AT1G08560	2
AT3G11910	2
AT5G41880	2
AT1G18370	2
AT1G07370	2
AT5G49160	2
AT5G08020	2
AT5G55520	2
AT1G76310	2
AT1G77720	2
AT5G62410	2
AT3G02640	2
AT1G19120	2
AT2G17510	2
AT1G04730	2
AT4G14330	2
AT2G24490	2
AT5G63960	2
AT4G31840	2
AT1G43190	2
AT2G47250	2
AT1G03780	2
AT4G11080	2
AT1G26840	2
AT3G46940	2
AT2G37560	2
AT1G47210	2
AT1G27595	2
AT4G16265	2
AT4G28310	2
AT1G16190	2
AT1G06960	2
AT1G17760	2
AT1G65420	2
AT1G67630	2
AT1G50490	2
AT2G28740	2
AT1G08840	2
AT2G32590	2
AT3G51720	2
AT5G44740	2
AT1G18340	2
AT1G04510	2
AT1G65470	2
AT3G02120	2
AT1G66750	2
AT5G09920	2
AT1G79650	2
AT5G56740	2
AT3G54670	2
AT5G10980	2
AT2G14050	2
AT5G43080	2
AT5G22880	2
AT3G46220	2
AT1G04020	2
AT3G62970	2
AT4G23800	2
AT5G61000	2
AT5G10390	2
AT2G16440	2
AT1G66620	2
AT1G76540	2
AT2G07690	2
AT3G06030	2
AT3G61240	2
AT1G07790	2
AT1G08880	2
AT1G15660	2
AT1G54690	2
AT5G27740	2
AT1G09815	2
AT5G48600	2
AT1G20930	2
AT5G06910	2
AT3G15550	2
AT5G60940	2
AT2G27970	2
AT3G23325	2
AT4G02800	2
AT2G26760	2
AT3G22320	2
AT4G02070	2
AT3G48150	2
AT1G69770	2
AT3G12280	2
AT3G12170	2
AT5G48630	2
AT1G10930	2
AT1G77600	2
AT2G27170	2
AT3G54630	2
AT4G32830	2
AT2G33540	2
AT3G45980	2
AT2G32765	2
AT2G31270	2
AT1G20960	2
AT4G22380	2
AT1G18660	2
AT2G29570	2
AT1G79950	2
AT2G40550	2
AT1G09450	2
AT3G20670	2
AT1G07270	2
AT2G38730	2
AT4G00020	2
AT2G33560	2
AT2G02480	2
AT3G10690	2
AT3G54560	2
AT1G77470	2
AT3G47460	2
AT1G44110	2
AT4G18820	2
AT2G42120	2
AT1G06590	2
AT5G25090	2
AT3G53190	2
AT5G67100	2
AT3G32940	2
AT5G13840	2
AT3G48210	2
AT4G10180	2
AT2G45280	2
AT1G47720	2
AT3G24320	2
AT3G25100	2
AT1G73720	2
AT2G03870	2
AT1G21710	2
AT3G10070	2
AT3G52120	2
AT1G17980	2
AT5G52220	2
AT1G80370	2
AT4G37630	2
AT5G09860	2
AT4G34870	2
AT1G79050	2
AT3G07800	2
AT4G36650	2
AT4G30825	2
AT3G23890	2
AT5G26680	2
AT5G62540	2
AT5G17160	2
AT1G08370	2
AT2G45810	2
AT1G13730	2
AT4G30890	2
AT5G23420	2
AT1G01370	2
AT2G33770	2
AT2G44980	2
AT5G64630	2
AT3G51280	2
AT5G44800	2
AT1G49980	2
AT4G24940	2
AT3G27360	2
AT2G47980	2
AT5G44750	2
AT1G32750	2
AT1G55325	2
AT2G03070	2
AT3G42660	2
AT5G16790	2
AT1G21700	2
AT5G18620	2
AT1G03280	2
AT1G18090	2
AT5G15920	2
AT1G23260	2
AT5G01160	2
AT3G59550	2
AT1G55080	2
AT3G11500	2
AT3G43610	2
AT2G04630	2
AT3G62310	2
AT1G15780	2
AT1G19480	2
AT3G50880	2
AT3G18524	2
AT2G18760	2
AT4G18465	2
AT4G37490	2
AT4G22910	2
AT4G29910	2
AT3G10140	2
AT3G53650	2
AT1G67480	2
AT5G02480	2
AT3G46030	2
AT2G24590	2
AT1G08060	2
AT5G41580	2
AT3G11960	2
AT5G54970	2
AT4G15475	2
AT3G49430	2
AT5G38110	2
AT2G17930	2
AT1G14460	2
AT1G78290	2
AT3G57060	2
AT3G50360	2
AT1G23230	2
AT1G45050	2
AT2G41980	2
AT1G21840	2
AT5G16690	2
AT2G38810	2
AT3G60660	2
AT4G21070	2
AT1G66610	2
AT3G16980	2
AT1G49180	2
AT1G07360	2
AT1G10580	2
AT5G51120	2
AT3G16060	2
AT4G31580	2
AT3G09770	2
AT3G26560	2
AT5G56580	2
AT5G50970	2
AT1G67500	2
AT4G01790	2
AT1G31870	2
AT2G38750	2
AT1G72040	2
AT4G35620	2
AT5G48870	2
AT3G17590	2
AT1G29630	2
AT1G53950	2
AT1G07700	2
AT1G31500	2
AT3G21870	2
AT5G37630	2
AT4G22970	2
AT1G05440	2
AT1G10690	2
AT1G47230	2
AT4G38120	2
AT2G16780	2
AT1G18040	2
AT5G58760	2
AT1G20720	2
AT1G80190	2
AT1G02080	2
AT4G24440	2
AT2G28790	2
AT3G24810	2
AT3G56860	2
AT3G02920	2
AT5G56130	2
AT4G11130	2
AT5G43130	2
AT5G45600	2
AT1G67180	2
