gene	community
KRT17	1
KRT76	1
OR10H2	2
RTP2	2
OR2G2	2
GPR37	3
MTNR1A	3
INSL5	3
ADCY2	3
ADCYAP1R1	3
GLP2R	3
ADRA1B	3
CCL11	3
IAPP	3
GNGT1	3
OR9Q1	3
OR6S1	3
OR7A17	3
OR4C16	3
OR2M2	3
OR2M5	3
OR5M11	3
ADRB3	3
TNNI1	4
TNNT2	4
TNNC1	4
AGXT2	5
DAO	5
CCKAR	6
NTS	6
FGG	7
SPP2	7
STC2	7
BPIFB2	7
BMP5	8
BMP7	8
TDGF1	8
IFI44	9
IFI44L	9
RSAD2	9
HERC5	9
OAS3	9
IFIT1	9
IFIT3	9
IFIT5	9
IFIT2	9
EIF2AK2	9
MX1	9
DDX58	9
CMPK2	9
OAS1	9
XAF1	9
IFIH1	9
IFI6	9
IFITM3	9
OAS2	9
PARP12	9
CXCR1	9
CXCR2	9
IFI16	9
GBP1	9
GBP5	9
ISG15	9
DHX58	9
OASL	9
DDX60	9
IFITM1	9
DTX3L	9
PARP14	9
MX2	9
HERC6	9
HCAR2	9
HCAR3	9
PML	9
TRIM22	9
ADAR	9
HELZ2	9
PARP9	9
IFI35	9
TRIM5	9
DDX60L	9
CARD16	9
CASP1	9
CAMP	9
MMP8	9
FCGR1A	9
FCGR1B	9
SAMD9	9
SAMD9L	9
GBP2	9
DDX3X	9
KDM6A	9
RNF213	9
LCN2	9
HLA-F	9
TLR1	9
TLR6	9
UBE2L6	9
AGRN	9
MOV10	9
USP18	9
RTP4	9
TRIM38	9
TRIM25	9
CSF2RB	9
LYN	9
FCGR2A	9
TAP1	9
HCK	9
WAS	9
ABCA13	9
CEACAM6	9
LILRB3	9
LTA4H	9
GBP6	9
HLA-DQB1	9
HLA-DRB1	9
MAPK14	9
ARGLU1	9
SNRNP70	9
BST2	9
PSAP	9
TNFRSF1A	9
NOD2	9
CEACAM8	9
S100A12	9
S100A9	9
TAP2	9
FPR1	9
FBXO6	9
HLA-A	9
HLA-E	9
APOL2	9
LAMP3	9
FPR2	9
MMP25	9
LAMP2	9
NFAM1	9
CASP5	9
OLR1	9
XPO6	9
AIM2	9
MNDA	9
NCF2	9
HLA-DQA1	9
ACOX1	9
CREBBP	9
PRKCD	9
TPM2	9
TTN	9
KDM5C	9
PARP10	9
LY96	9
GCA	9
SDCBP	9
CAMKK2	9
ADAM8	9
CEACAM3	9
ACTN1	9
TUBA1A	9
P2RY13	9
FRAT1	9
FRAT2	9
PGLYRP1	9
GAB2	9
PDLIM7	9
SVIL	9
TRIM21	9
CSF3R	9
GNB2	9
SPATS2L	9
CMTM6	9
SIRPA	9
UBE2D1	9
CASP4	9
USP25	9
C5AR1	9
BPI	9
CHMP5	9
CD274	9
PDCD1LG2	9
NDE1	9
GNAQ	9
MGAM	9
SLC11A1	9
NAMPT	9
NT5C2	9
MCL1	9
S100A8	9
PNISR	9
ZFC3H1	9
CFLAR	9
ACO1	9
IGF1R	9
PPM1F	9
DAPP1	9
PIK3AP1	9
IFNAR1	9
IFNGR2	9
CEP63	9
PTEN	9
PTAFR	9
NCF4	9
FBXL5	9
ITPRIP	9
ST8SIA4	9
IMPDH1	9
NOTCH1	9
TLE3	9
OLFM4	9
TRIM6	9
PACSIN2	9
REPS2	9
RAF1	9
ARRB2	9
SLC25A44	9
NLRC5	9
CARD17	9
EHBP1L1	9
PYGL	9
ALOX5	9
ALPL	9
IL1RN	9
MYD88	9
NDEL1	9
RNF31	9
VASP	9
ZYX	9
SRPK1	9
TNFRSF10C	9
NEDD4	9
PSMB8	9
SAMHD1	9
ARHGAP27	9
TREX1	9
RAB3D	9
RICTOR	9
ITGAX	9
CANT1	9
RERE	9
ARAP1	9
SKAP2	9
IQGAP1	9
LRRFIP1	9
FBXL13	9
TRIM9	9
TYROBP	9
FCGR3B	9
SLC2A3	9
RC3H1	9
ARHGAP26	9
FAR2	9
VSIG4	9
RIPK1	9
GBP4	9
IFI30	9
ADAM10	9
FCER1G	9
QPCT	9
LCP2	9
NBN	9
SBNO2	9
GRB2	9
MAP3K1	9
PTPRJ	9
PPP1R15A	9
TGFBR2	9
CDK5RAP3	9
PLIN3	9
TMEM43	9
NAIP	9
ATP8B4	9
ZBP1	9
RNASET2	9
IL10RB	9
MAP3K5	9
ADAMTSL4	9
MVP	9
FCAR	9
GPSM3	9
GAA	9
ITGB2	9
NUMB	9
ADM	9
HRH2	9
SIPA1L1	9
GSN	9
ICAM1	9
FHL3	9
PATL1	9
MYADM	9
LRRK2	9
