protein1	protein2
AT1G01030	AT3G51060
AT1G01060	AT5G15840
AT1G01060	AT5G15850
AT1G01060	AT3G09600
AT1G01060	AT3G02380
AT1G01060	AT4G38960
AT1G01060	AT2G46830
AT1G01060	AT3G22170
AT1G01060	AT3G46640
AT1G01350	AT1G09770
AT1G01380	AT1G63650
AT1G01380	AT5G41315
AT1G01380	AT4G00480
AT1G01380	AT1G79840
AT1G01530	AT5G26650
AT1G01530	AT1G65330
AT1G01720	AT1G77450
AT1G02340	AT2G20180
AT1G02340	AT4G25560
AT1G02340	AT1G26945
AT1G02340	AT5G11260
AT1G02340	AT4G16780
AT1G02340	AT3G17609
AT1G03790	AT2G20180
AT1G03840	AT4G37650
AT1G03840	AT3G54220
AT1G03840	AT1G50420
AT1G05805	AT1G48195
AT1G06040	AT5G11260
AT1G06040	AT3G47500
AT1G06160	AT1G32640
AT1G06170	AT4G21330
AT1G06170	AT3G28470
AT1G06280	AT3G27940
AT1G07530	AT5G06950
AT1G07540	AT1G49950
AT1G07980	AT5G47670
AT1G07980	AT4G14540
AT1G07980	AT3G12480
AT1G07980	AT5G27910
AT1G07980	AT2G27470
AT1G08000	AT2G36010
AT1G08000	AT5G47140
AT1G08970	AT3G05690
AT1G08970	AT2G34720
AT1G08970	AT2G37060
AT1G08970	AT1G21970
AT1G08970	AT1G54160
AT1G08970	AT1G30500
AT1G08970	AT5G47670
AT1G08970	AT3G20910
AT1G08970	AT2G38880
AT1G08970	AT4G14540
AT1G08970	AT5G12840
AT1G08970	AT3G53340
AT1G08970	AT1G17590
AT1G08970	AT5G47640
AT1G08970	AT5G06510
AT1G08970	AT2G27470
AT1G09030	AT1G54830
AT1G09030	AT5G38140
AT1G09030	AT3G48590
AT1G09030	AT1G30500
AT1G09030	AT5G63470
AT1G09030	AT2G27470
AT1G09530	AT2G43010
AT1G09530	AT3G59060
AT1G09530	AT5G17490
AT1G09530	AT3G17609
AT1G09530	AT2G01570
AT1G09530	AT5G61270
AT1G09530	AT1G66350
AT1G09530	AT5G11260
AT1G09530	AT3G03450
AT1G09530	AT1G14920
AT1G09770	AT1G01350
AT1G09770	AT5G63420
AT1G09770	AT5G06420
AT1G09770	AT3G44785
AT1G09770	AT3G52250
AT1G09770	AT2G47210
AT1G10320	AT5G26749
AT1G11510	AT4G31270
AT1G11510	AT1G26960
AT1G12610	AT4G34410
AT1G12860	AT3G06120
AT1G12860	AT5G53210
AT1G12980	AT5G08130
AT1G12980	AT1G30490
AT1G13260	AT1G16640
AT1G14350	AT3G24140
AT1G14687	AT5G42780
AT1G14920	AT2G43010
AT1G14920	AT1G75080
AT1G14920	AT5G15840
AT1G14920	AT1G09530
AT1G14920	AT3G61850
AT1G14920	AT2G28550
