protein1	protein2
YBX2	SOHLH1
TFAP2D	TFAP2E
TFAP2D	TFAP2B
TFAP2D	TFAP2A
TFAP2D	TFAP2C
HOXC8	HOXA5
HOXC8	HOXA6
HOXC8	HOXB6
HOXC8	HOXC4
HOXC8	HOXC5
HOXC8	HOXB7
HOXC8	HOXD4
HOXC8	HOXC6
HOXC8	HOXB4
HOXC8	HOMEZ
THAP3	THAP11
NFE2L3	MAFG
NFE2L3	MAFK
CREB3L3	CREB3L4
CREB3L3	CREB3L2
CREB3L3	ATF2
CREB3L3	CREB1
CREB3L3	ATF4
CREB3L3	CREB5
CREB3L3	ATF1
CREB3L3	CREB3
CREB3L3	CREB3L1
CREB3L3	ATF6B
MNT	MXD4
MNT	MLX
TBX21	RUNX1
TBX21	RORC
TBX21	GATA3
TBX21	STAT1
TBX21	STAT5B
TBX21	RUNX3
TBX21	BCL6
TBX21	STAT4
TBX21	FOXP3
TBX21	STAT5A
ZNF416	ZNF211
TFAP2C	TFAP2E
TFAP2C	KDM5B
TFAP2C	TFAP2B
TFAP2C	YY1
TFAP2C	TFAP2D
TFAP2C	ESR1
TFAP2C	PITX2
TFAP2C	TFAP2A
TFAP2C	MYC
TFAP4	BPTF
CEBPE	SPI1
THAP7	THAP11
XBP1	ATF2
XBP1	CREB1
XBP1	CREM
XBP1	ATF3
XBP1	ESR1
XBP1	ATF4
XBP1	ATF6
XBP1	ATF1
XBP1	DDIT3
XBP1	PRDM1
XBP1	ATF6B
MYBL2	E2F1
MYBL2	LIN54
MYBL2	E2F4
MYBL2	FOXM1
MYBL2	E2F5
MYBL2	TFDP1
MYBL2	TFAP2A
SALL4	JUN
SALL4	NR2E1
SALL4	GATAD2B
SALL4	ATF2
SALL4	TP53
SALL4	MECOM
SALL4	NANOG
SALL4	SNAI1
SALL4	PBX1
SALL4	POU5F1
SALL4	EPAS1
SALL4	LIN28A
SALL4	GATAD2A
SALL4	KLF4
SALL4	CBX2
SALL4	SOX2
SALL4	REST
SALL4	STAT3
